zone,province,borders_rwanda,pop_count,pop_density,healthsites,ccvi_deprivation
Alimbongo,North-Kivu,0,296820.662478323,80.1216286626615,61,0.843003482407766
Beni,North-Kivu,0,428853.658884277,583.694814150159,228,0.813619533314143
Biena,North-Kivu,0,136159.010172674,117.808492237836,80,0.844784138491372
Butembo,North-Kivu,0,289377.881656445,3648.62216219997,122,0.810862519783014
Kalunguta,North-Kivu,0,191731.550595345,217.291453102909,105,0.807862809656664
Kamango,North-Kivu,0,111428.26646979,120.809447696771,12,0.789605360466702
Katwa,North-Kivu,0,612242.341814758,7809.37779884317,222,0.810291352525027
Kyondo,North-Kivu,0,270343.895203815,287.209696136707,47,0.800526756269392
Lubero,North-Kivu,0,377506.042787607,171.487626671977,37,0.830046763539958
Mabalako,North-Kivu,0,197136.159358413,224.427753196912,108,0.810936549067939
Manguredjipa,North-Kivu,0,68013.7287993651,9.59707431221604,57,0.869024906815593
Masereka,North-Kivu,0,298636.156530351,859.910963009083,22,0.813352774541348
Musienene,North-Kivu,0,348391.565967863,272.413057812586,76,0.824534770862495
Mutwanga,North-Kivu,0,255278.359169078,164.669385030576,96,0.811750891029298
Oicha,North-Kivu,0,274997.934806786,217.407676331775,54,0.820347655222783
Vuhovi,North-Kivu,0,151952.6429739,380.412706373374,44,0.808634336005772
Bambo,North-Kivu,0,134970.462815797,160.925384497737,15,0.769497053462228
Binza,North-Kivu,0,191405.66379277,158.19428305996,28,0.75064708549701
Birambizo,North-Kivu,0,127939.297461902,247.96652725493,15,0.785478690037861
Goma,North-Kivu,1,282838.298423046,8413.39578071933,32,0.693328499220077
Itebero,North-Kivu,0,96851.1840207458,16.7048975997448,22,0.873083294742779
Karisimbi,North-Kivu,1,403400.688067297,8149.33562491542,137,0.68781066638536
Katoyi,North-Kivu,0,253834.505171522,272.002275090484,22,0.846134419979781
Kayna,North-Kivu,0,322627.850693047,306.817765415359,89,0.844121418636275
Kibirizi,North-Kivu,0,185416.374839013,136.222944385906,25,0.822415701694403
Kibua,North-Kivu,0,63614.8906077197,30.2978812944334,17,0.875493976967008
Kirotshe,North-Kivu,1,541954.697708047,585.226387370459,30,0.787597178644068
Masisi,North-Kivu,0,356753.827128422,292.049090334141,31,0.84273933270718
Mweso,North-Kivu,0,289637.125197197,285.769674364967,25,0.821389020685844
Nyiragongo,North-Kivu,1,248138.636326646,622.757397486925,30,0.690586074235218
Pinga,North-Kivu,0,101157.348245099,12.6220404039282,20,0.870605335997025
Rutshuru,North-Kivu,1,343487.215947068,444.17166355212,22,0.737687471461945
Rwanguba,North-Kivu,1,320999.396267102,435.830230696316,77,0.721625539969868
Walikale,North-Kivu,0,176259.344236267,26.9115902179874,18,0.849919968798514
Bagira,South-Kivu,1,211256.487737879,7891.19223916789,58,0.801842174134273
Bunyakiri,South-Kivu,0,222892.694411349,98.6647993845181,34,0.836973704838854
Ibanda,South-Kivu,1,368152.170708707,13572.9959787434,105,0.807498582216333
Idjwi,South-Kivu,1,275582.22988952,304.394301494444,44,0.7322592681623
Kabare,South-Kivu,1,312733.67913993,1092.44271033756,22,0.799699399807139
Kadutu,South-Kivu,1,267941.620753476,19287.640458779,113,0.805543553535947
Kalehe,South-Kivu,1,178353.89458843,314.473786596325,23,0.778195449153258
Kalole,South-Kivu,0,170687.27458817,25.3529315537396,31,0.881217646668969
Kalonge,South-Kivu,0,138362.66698974,142.462351667579,21,0.825496396604005
Kamituga,South-Kivu,0,136834.943903111,103.467730086128,40,0.853239279385387
Kaniola,South-Kivu,0,225669.426489456,184.235207126139,23,0.832511626533525
Katana,South-Kivu,1,248136.929012709,655.350723577269,27,0.774510582668565
Kaziba,South-Kivu,0,116320.804051614,289.287205826059,21,0.83806813945341
Kitutu,South-Kivu,0,166071.705241436,53.0583901103373,28,0.855192379186126
Lulingu,South-Kivu,0,131970.805198763,23.1166178433015,22,0.881106864493659
Minova,South-Kivu,1,341381.302887561,341.544220470522,25,0.767979715095277
Miti Murhesa,South-Kivu,0,303982.79461199,722.651452069188,33,0.787163511672195
Mubumbano,South-Kivu,0,244896.252339659,594.269386797871,24,0.819358633018879
Mulungu,South-Kivu,0,121467.892461611,16.0759230799651,41,0.880114126277471
Mwana,South-Kivu,0,241869.440695238,466.604326010076,27,0.827023978431328
Mwenga,South-Kivu,0,125153.215624483,49.0166822924058,55,0.85061084789
Nyangezi,South-Kivu,1,166899.204253532,736.679996924955,20,0.842325447007402
Nyantende,South-Kivu,0,171660.282316635,2930.27965888669,20,0.815513727952198
Shabunda,South-Kivu,0,244338.486021253,49.6890591449019,30,0.87762189131755
Walungu,South-Kivu,0,332722.899691326,1100.06743425272,40,0.811735628153936
Fizi,South-Kivu,0,512745.207053861,111.935081082766,43,0.867921427875851
Haut Plateau,South-Kivu,0,73828.8562115194,51.8803470243228,24,0.885848740402087
Itombwe,South-Kivu,0,69301.929669531,21.2639707546737,18,0.864687194500701
Kimbi Lulenge,South-Kivu,0,196140.985869484,45.2087973986911,25,0.859849505880036
Lemera,South-Kivu,0,248475.20319609,299.277771675975,28,0.885233591005922
Minembwe,South-Kivu,0,107874.495482433,63.830044464795,18,0.868896665818727
Nundu,South-Kivu,0,185715.195553474,137.215191474683,26,0.906407456169644
Ruzizi,South-Kivu,1,279730.324909974,345.659221644646,31,0.904876829751085
Uvira,South-Kivu,0,424289.013962265,1265.93122696188,31,0.909171955024668
